# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_bidirectional_gene_fusion	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_gene_fusion	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_transcript_ablation	variants_effect_upstream_gene_variant
ABCA10	ENSG00000154263	ENST00000269081	protein_coding	0	4	5	261	4	0	3	0	0	0	0	0	14	0	0	231	5	0	0	0	0	4	0	0	0	0	0	2	0	11
ABCA10	ENSG00000154263	ENST00000416101	protein_coding	0	5	2	264	7	0	3	0	0	0	0	0	14	0	0	231	2	0	0	0	0	4	0	0	0	0	0	2	0	11
ABCA10	ENSG00000154263	ENST00000423818	protein_coding	0	0	0	57	0	0	0	0	0	0	0	0	21	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	10
ABCA10	ENSG00000154263	ENST00000432313	protein_coding	0	2	2	151	0	0	3	0	0	0	0	0	22	0	0	115	2	0	0	0	0	1	0	0	0	0	0	2	0	11
ABCA10	ENSG00000154263	ENST00000518929	nonsense_mediated_decay	0	3	0	246	9	0	0	0	0	0	0	0	17	0	0	201	0	13	0	0	0	3	0	0	0	0	0	0	0	9
ABCA10	ENSG00000154263	ENST00000519732	processed_transcript	0	1	0	91	0	0	0	0	0	0	0	0	16	0	0	64	0	4	0	0	0	1	0	0	0	0	0	0	0	8
ABCA10	ENSG00000154263	ENST00000521526	processed_transcript	1	0	0	40	0	0	0	0	0	0	0	0	12	0	0	19	0	0	0	0	1	0	0	0	0	0	0	0	0	10
ABCA10	ENSG00000154263	ENST00000521538	protein_coding	0	2	0	35	2	0	0	0	0	0	0	0	12	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	14
ABCA10	ENSG00000154263	ENST00000522406	nonsense_mediated_decay	1	4	0	248	7	0	0	0	0	0	0	0	14	0	0	211	0	11	0	1	0	4	0	0	0	0	0	0	0	10
ABCA10	ENSG00000154263	ENST00000522787	protein_coding	0	0	0	35	2	0	0	0	0	0	0	0	12	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	14
ABCA10	ENSG00000154263	ENST00000523419	nonsense_mediated_decay	0	4	0	237	1	0	0	0	0	0	0	0	17	0	0	206	0	8	0	0	0	4	0	0	0	0	0	0	0	9
ABCA10	ENSG00000154263	ENST00000523512	nonsense_mediated_decay	0	1	0	83	4	0	0	0	0	0	0	0	23	0	0	43	0	4	0	0	0	1	0	0	0	0	0	0	0	10
ABCA10	ENSG00000154263	ENST00000524231	retained_intron	0	0	0	34	0	0	0	0	0	0	0	0	15	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	14
ABCA10	ENSG00000154263	ENST00000524273	nonsense_mediated_decay	0	1	0	68	1	0	0	0	0	0	0	0	22	0	0	26	0	2	0	0	0	1	0	0	0	0	0	0	0	18
ABCA10	ENSG00000154263	ENST00000588514	retained_intron	0	0	0	32	0	0	0	0	0	0	0	0	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13
ABCA13	ENSG00000179869	ENST00000411975	protein_coding	44	2	2	785	4	0	0	0	0	0	0	0	14	28	44	738	2	0	0	0	0	1	0	0	0	0	0	1	0	30
ABCA13	ENSG00000179869	ENST00000417403	nonsense_mediated_decay	44	1	0	332	3	0	0	0	0	0	0	0	6	44	44	314	0	3	0	0	0	1	0	0	0	0	0	0	0	7
ABCA13	ENSG00000179869	ENST00000435451	protein_coding	44	0	0	47	0	0	0	0	0	0	0	0	9	44	44	26	0	0	0	0	0	0	0	0	0	0	0	0	0	12
ABCA13	ENSG00000179869	ENST00000435803	protein_coding	44	11	11	1669	4	0	0	0	0	0	0	0	14	28	44	1649	11	0	0	0	0	6	0	0	0	0	0	6	0	7
ABCA13	ENSG00000179869	ENST00000453246	nonsense_mediated_decay	44	5	0	1192	2	0	0	0	0	0	0	0	13	40	44	1161	0	10	0	0	0	5	0	0	0	0	0	0	0	11
ABCA13	ENSG00000179869	ENST00000484268	retained_intron	44	0	0	190	0	0	0	0	0	0	0	0	26	44	44	152	0	4	0	0	0	0	0	0	0	0	0	0	0	8
ABCA13	ENSG00000179869	ENST00000544596	protein_coding	44	2	1	786	4	0	1	0	0	0	0	0	14	28	44	738	1	0	0	0	0	1	0	0	0	0	0	1	0	30
ABCA5	ENSG00000154265	ENST00000392676	protein_coding	1	1	4	213	10	0	0	0	0	0	0	0	5	1	0	184	4	0	0	0	0	0	0	0	0	0	0	1	0	14
ABCA5	ENSG00000154265	ENST00000392677	protein_coding	1	1	4	213	10	0	0	0	0	0	0	0	5	1	0	184	4	0	0	0	0	0	0	0	0	0	0	1	0	14
ABCA5	ENSG00000154265	ENST00000586601	retained_intron	0	0	0	23	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11
ABCA5	ENSG00000154265	ENST00000586811	protein_coding	0	1	0	61	0	0	1	0	0	0	0	0	11	0	0	39	0	0	0	0	0	0	0	0	0	0	0	1	0	10
ABCA5	ENSG00000154265	ENST00000586995	nonsense_mediated_decay	0	0	0	161	4	0	0	0	0	0	0	0	11	0	0	133	0	5	0	0	0	0	0	0	0	0	0	0	0	8
ABCA5	ENSG00000154265	ENST00000587607	non_stop_decay	0	0	0	70	0	0	0	0	0	0	0	0	10	0	0	45	0	1	0	0	0	0	0	0	0	0	0	0	0	14
ABCA5	ENSG00000154265	ENST00000588106	retained_intron	0	0	0	24	0	0	0	0	0	0	0	0	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11
ABCA5	ENSG00000154265	ENST00000588665	protein_coding	0	0	0	56	0	0	1	0	0	0	0	0	9	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	14
ABCA5	ENSG00000154265	ENST00000588877	protein_coding	1	2	4	177	1	1	1	0	0	0	0	0	11	1	0	152	4	0	0	0	0	0	0	0	0	0	0	1	0	12
ABCA5	ENSG00000154265	ENST00000589609	processed_transcript	0	0	0	49	0	0	0	0	0	0	0	0	8	0	0	25	0	2	0	0	0	0	0	0	0	0	0	0	0	14
ABCA5	ENSG00000154265	ENST00000589975	protein_coding	0	0	1	28	1	0	0	0	0	0	0	0	10	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	6
ABCA5	ENSG00000154265	ENST00000591234	nonsense_mediated_decay	0	0	0	113	5	0	0	0	0	0	0	0	11	0	0	80	0	5	0	0	0	0	0	0	0	0	0	0	0	12
ABCA5	ENSG00000154265	ENST00000592568	protein_coding	0	1	0	65	0	1	1	0	0	0	0	0	13	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	14
ABCA5	ENSG00000154265	ENST00000593153	protein_coding	1	0	3	158	0	0	0	0	0	0	0	0	10	1	0	134	3	0	0	0	0	0	0	0	0	0	0	0	0	14
ABCA5	ENSG00000154265	ENST00000593253	non_stop_decay	0	1	0	37	0	1	1	0	0	0	0	0	10	0	0	13	0	2	0	0	0	0	0	0	0	0	0	0	0	11
ABCA6	ENSG00000154262	ENST00000284425	protein_coding	56	4	5	135	1	0	0	0	0	0	0	0	13	28	56	112	5	0	0	0	0	3	0	0	0	0	0	1	0	12
ABCA6	ENSG00000154262	ENST00000446604	processed_transcript	48	2	0	64	0	0	0	0	0	0	0	0	13	40	48	37	0	4	0	0	0	2	0	0	0	0	0	0	0	12
ABCA6	ENSG00000154262	ENST00000589482	retained_intron	40	0	0	31	0	0	0	0	0	0	0	0	18	40	40	4	0	1	0	0	0	0	0	0	0	0	0	0	0	8
ABCA6	ENSG00000154262	ENST00000589803	retained_intron	32	0	0	43	0	0	0	0	0	0	0	0	13	32	32	19	0	3	0	0	0	0	0	0	0	0	0	0	0	8
ABCA6	ENSG00000154262	ENST00000590311	retained_intron	24	0	0	40	0	0	0	0	0	0	0	0	13	24	24	11	0	14	0	0	0	0	0	0	0	0	0	0	0	2
ABCA6	ENSG00000154262	ENST00000590645	protein_coding	16	0	0	30	1	0	0	0	0	0	0	0	7	16	16	10	0	0	0	0	0	0	0	0	0	0	0	0	0	12
ABCA6	ENSG00000154262	ENST00000592493	processed_transcript	8	0	0	12	0	0	0	0	0	0	0	0	9	8	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ABCA8	ENSG00000141338	ENST00000269080	protein_coding	0	2	0	241	1	0	0	0	0	0	0	0	10	0	0	220	0	0	0	0	0	1	0	0	0	0	0	1	0	11
ABCA8	ENSG00000141338	ENST00000428549	retained_intron	0	0	0	99	0	0	0	0	0	0	0	0	11	0	0	75	0	2	0	0	0	0	0	0	0	0	0	0	0	11
ABCA8	ENSG00000141338	ENST00000430352	protein_coding	0	2	0	195	0	0	0	0	0	0	0	0	10	0	0	166	0	0	0	0	0	1	0	0	0	0	0	1	0	20
ABCA8	ENSG00000141338	ENST00000541225	retained_intron	0	0	0	209	0	0	0	0	0	0	0	0	8	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	11
ABCA8	ENSG00000141338	ENST00000585531	protein_coding	0	0	0	53	0	0	0	0	0	0	0	0	15	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	20
ABCA8	ENSG00000141338	ENST00000585850	retained_intron	0	0	0	101	0	0	0	0	0	0	0	0	11	0	0	75	0	2	0	0	0	0	0	0	0	0	0	0	0	13
ABCA8	ENSG00000141338	ENST00000586292	retained_intron	0	1	0	36	0	0	0	0	0	0	0	0	13	0	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0	10
ABCA8	ENSG00000141338	ENST00000586539	protein_coding	0	2	0	240	0	0	0	0	0	0	0	0	10	0	0	220	0	0	0	0	0	1	0	0	0	0	0	1	0	11
ABCA8	ENSG00000141338	ENST00000587206	retained_intron	0	0	0	17	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ABCA8	ENSG00000141338	ENST00000588458	retained_intron	0	0	0	23	0	0	0	0	0	0	0	0	12	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	9
ABCA8	ENSG00000141338	ENST00000589533	non_stop_decay	0	0	0	114	0	0	0	0	0	0	0	0	18	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	12
ABCA8	ENSG00000141338	ENST00000589980	retained_intron	0	0	0	20	0	0	0	0	0	0	0	0	9	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	8
ABCA8	ENSG00000141338	ENST00000590359	retained_intron	0	0	0	70	0	0	0	0	0	0	0	0	17	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	15
ABCA8	ENSG00000141338	ENST00000591459	retained_intron	0	0	0	27	0	0	0	0	0	0	0	0	12	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	10
ABCA9	ENSG00000154258	ENST00000340001	protein_coding	0	2	3	275	13	0	1	0	0	0	0	0	22	0	0	226	3	0	0	0	0	1	0	0	0	0	0	1	0	14
ABCA9	ENSG00000154258	ENST00000370732	protein_coding	0	2	3	275	13	0	0	0	0	0	0	0	22	0	0	226	3	0	0	0	0	1	0	0	0	0	0	1	0	15
ABCA9	ENSG00000154258	ENST00000453985	protein_coding	0	2	3	275	13	0	0	0	0	0	0	0	22	0	0	226	3	0	0	0	0	1	0	0	0	0	0	1	0	15
ABCA9	ENSG00000154258	ENST00000460872	retained_intron	0	0	0	35	0	0	0	0	0	0	0	0	17	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	12
ABCA9	ENSG00000154258	ENST00000461623	retained_intron	0	0	0	87	0	0	0	0	0	0	0	0	10	0	0	62	0	3	0	0	0	0	0	0	0	0	0	0	0	12
ABCA9	ENSG00000154258	ENST00000482072	processed_transcript	0	0	0	35	0	0	0	0	0	0	0	0	9	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ABCA9	ENSG00000154258	ENST00000492580	retained_intron	0	0	0	23	0	0	0	0	0	0	0	0	7	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ABCA9	ENSG00000154258	ENST00000495634	protein_coding	0	0	0	100	0	0	0	0	0	0	0	0	34	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	15
ABCA9	ENSG00000154258	ENST00000585714	protein_coding	0	0	0	65	0	0	1	0	0	0	0	0	19	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	15
ABCA9-AS1	ENSG00000231749	ENST00000458677	antisense	0	0	0	43	0	0	0	0	0	0	0	0	4	0	0	27	0	1	0	0	0	0	0	0	0	0	0	0	0	11
ABCB1	ENSG00000085563	ENST00000265724	protein_coding	0	4	2	334	2	0	1	0	0	0	0	0	12	0	0	311	2	0	0	0	0	1	0	0	0	0	0	3	0	9
ABCB1	ENSG00000085563	ENST00000416177	protein_coding	0	0	1	114	0	0	1	0	0	0	0	0	9	0	0	95	1	0	0	0	0	0	0	0	0	0	0	0	0	9
ABCB1	ENSG00000085563	ENST00000475929	processed_transcript	0	0	0	48	0	0	0	0	0	0	0	0	16	0	0	18	0	1	0	0	0	0	0	0	0	0	0	0	0	13
ABCB1	ENSG00000085563	ENST00000476862	processed_transcript	0	0	0	88	0	0	0	0	0	0	0	0	5	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	9
ABCB1	ENSG00000085563	ENST00000482527	retained_intron	0	0	0	46	0	0	0	0	0	0	0	0	18	0	0	13	0	2	0	0	0	0	0	0	0	0	0	0	0	13
ABCB1	ENSG00000085563	ENST00000483831	retained_intron	0	0	0	27	0	0	0	0	0	0	0	0	6	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	14
ABCB1	ENSG00000085563	ENST00000488737	processed_transcript	0	0	0	84	0	0	0	0	0	0	0	0	12	0	0	54	0	4	0	0	0	0	0	0	0	0	0	0	0	14
ABCB1	ENSG00000085563	ENST00000491360	retained_intron	0	0	0	28	0	0	0	0	0	0	0	0	12	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ABCB1	ENSG00000085563	ENST00000496821	processed_transcript	0	0	0	60	0	0	0	0	0	0	0	0	5	0	0	48	0	1	0	0	0	0	0	0	0	0	0	0	0	6
ABCB1	ENSG00000085563	ENST00000543898	protein_coding	0	4	2	252	0	0	0	0	0	0	0	0	12	0	0	237	2	0	0	0	0	1	0	0	0	0	0	3	0	4
ABCB4	ENSG00000005471	ENST00000265723	protein_coding	0	3	2	249	0	0	0	0	0	0	0	0	12	0	0	226	2	0	0	0	0	1	0	0	0	0	0	3	0	11
ABCB4	ENSG00000005471	ENST00000358400	protein_coding	0	3	2	249	0	0	0	0	0	0	0	0	12	0	0	226	2	0	0	0	0	1	0	0	0	0	0	3	0	11
ABCB4	ENSG00000005471	ENST00000359206	protein_coding	0	3	2	248	0	0	0	0	0	0	0	0	12	0	0	226	2	0	0	0	0	1	0	0	0	0	0	3	0	10
ABCB4	ENSG00000005471	ENST00000417608	protein_coding	0	2	0	98	0	0	3	0	0	0	0	0	17	0	0	65	0	0	0	0	0	1	0	0	0	0	0	1	0	13
ABCB4	ENSG00000005471	ENST00000440025	protein_coding	0	0	0	29	0	0	0	0	0	0	0	0	12	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ABCB4	ENSG00000005471	ENST00000453593	protein_coding	0	3	2	248	0	0	0	0	0	0	0	0	12	0	0	226	2	0	0	0	0	1	0	0	0	0	0	3	0	10
ABCB4	ENSG00000005471	ENST00000467079	retained_intron	0	0	0	27	0	0	0	0	0	0	0	0	13	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	9
ABCB4	ENSG00000005471	ENST00000467983	retained_intron	0	0	0	29	0	0	0	0	0	0	0	0	12	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	12
ABCB4	ENSG00000005471	ENST00000469770	retained_intron	0	0	0	44	0	0	0	0	0	0	0	0	13	0	0	16	0	3	0	0	0	0	0	0	0	0	0	0	0	12
ABCB4	ENSG00000005471	ENST00000473795	retained_intron	0	0	0	130	0	0	0	0	0	0	0	0	19	0	0	96	0	5	0	0	0	0	0	0	0	0	0	0	0	10
ABCB4	ENSG00000005471	ENST00000545634	protein_coding	0	3	2	248	0	0	0	0	0	0	0	0	12	0	0	226	2	0	0	0	0	1	0	0	0	0	0	3	0	10
ABCB5	ENSG00000004846	ENST00000258738	protein_coding	182	1	3	469	0	0	0	96	0	0	0	0	16	16	48	442	3	0	0	0	0	0	0	0	0	0	0	1	38	11
ABCB5	ENSG00000004846	ENST00000404938	protein_coding	158	2	3	563	4	0	3	80	0	0	0	0	15	16	40	536	3	0	0	0	0	1	0	0	0	0	0	1	38	6
ABCB5	ENSG00000004846	ENST00000406935	protein_coding	134	0	1	144	3	0	0	64	0	0	0	0	48	32	32	82	1	0	0	0	0	0	0	0	0	0	0	0	38	11
ABCB5	ENSG00000004846	ENST00000441315	nonsense_mediated_decay	110	0	0	280	3	0	0	48	0	0	0	0	27	24	24	227	0	5	0	0	0	0	0	0	0	0	0	0	38	18
